Sample	Group	Reads
ERR17019680	control	31594754
ERR17019695	control	34121620
SRR37902877	control	71921458
SRR37974337	control	132958000
SRR37997984	control	118975780
SRR38014913	control	92746648
SRR38064085	control	37985016
SRR38064565	control	78521190
SRR38071145	control	74293166
SRR38089053	control	47349040
SRR38129373	control	44922530
SRR38132948	control	149172192
SRR38144997	control	67479254
SRR38145147	control	122547142
SRR38145165	control	125183186
SRR38170447	control	81744720
SRR38182240	control	49866308
SRR38189495	control	77506120
DRR814814	pollution	40693136
SRR26071889	pollution	47084860
SRR26895371	pollution	45678172
SRR29816325	pollution	44556068
SRR30787007	pollution	42513724
SRR31602060	pollution	73500062
SRR32255528	pollution	82375656
SRR32255539	pollution	76537576
SRR32304874	pollution	82316828
SRR32565270	pollution	21646404
SRR33230234	pollution	137986824
SRR33270622	pollution	151836194
SRR33963323	pollution	19701200
SRR34890691	pollution	32302458
SRR36921041	pollution	93643504
SRR37574067	pollution	68677798
